itemURL;itemPicture;itemID;itemName;description;price
https://www.liveit.se/upplevelser/upplevelsepresenter-massage;fjeiaoabeu.jpg;3;Massage;Unna dig själv eller en vän en klassisk massage. En massagebehandling kan vara enbart en stund för avslappning och återhämtning eller innehålla behandlande moment som tryck och stretching. Man väljer själv inriktning i samråd med massören.;445
https://www.kjell.com/se/sortiment/ljud-bild/mediaspelare/google-chromecast-p96600;3341551.jpg;40;Google Chromecast - Trådlös mediaströmning för TV:n;Chromecast är en mediaströmningsenhet som ansluts till TV:n via HDMI-porten. Använd din mobila enhet och en TV som du redan äger och casta TV-program, filmer, sport, spel och mycket annat. Chromecast fungerar med iPhone, iPad, Android-mobiler eller -surfplattor, Mac- och Windows-datorer och Chromebook. Med Chromecast blir mobilen en fjärrkontroll.;390
https://www.kjell.com/se/sortiment/el-verktyg/batterier/laddningsbara-batterier/powerbank/linocell-3x-dual-powerbank-7800-mah-bla-p96870;linocell-3x-dual-powerbank-7800-mah.jpg;41;Linocell 3X Dual Powerbank;Kraftfullt extrabatteri som laddar både mobil och surfplatta. Kapacitet på 7800 mAh som räcker för att ladda upp en mobil ca 3 gånger. Utrustat med två USB-portar (totalt 2,1 A) och laddningsindikator. Automatisk avstängning när mobilen är fulladdad. Laddningstid: ca 10 h.;199
https://www.kjell.com/se/sortiment/mobilt/gadgets/vr-glasogon/linocell-pro-vr-glasogon-for-mobilen-p96980;linocell-pro-vr-glasogon-for-mobilen.jpg;42;Linocell Pro VR-glasögon för mobilen;Bekväma VR-glasögon med huvudband och mjukt huvudstöd utformat för att sluta in ögonen. Vred för att ställa in fokus och för att ställa in linserna ger en uppslukande upplevelse. Har öppning för mobilens kamera. Ladda ner spel- och underhållningsappar eller se t.ex. Youtube-klipp på nya sätt. Mobilen hålls på plats i ett fack i glasögonen och fungerar som en bildskärm. Användaren styr därefter upplevelsen genom att vrida på huvudet.;199
https://www.kjell.com/se/sortiment/mobilt/gadgets/programmerbar-knapp/flic-bluetooth-knapp-for-mobil-svart-p50084;flic-bluetooth-knapp-for-mobil.jpg;43;Flic Bluetooth-knapp för mobil Svart;Bluetooth-fjärrkontroll för mobil. Kan programmeras för att låta mobilen t.ex. fota en bild, kontrollera musik eller starta en timer. Knappen har stöd för tre kortkommandon (tryck, långt tryck och dubbelklick). Inställningar görs enkelt via appen Flic (finns till både Android och iOS). Kan även styra olika tjänster via IFTTT.;349
https://www.kjell.com/se/sortiment/ljud-bild/foto-video/fototillbehor/dia/plexgear-pixaver-lux-negativ-och-diaskanner-p99000;plexgear-pixaver-lux-negativ-och-diaskanner.jpg;44;Plexgear Pixaver Lux Negativ- och Diaskanner;Fotofilmskanner med inbyggd 2,4-tumsskärm för digitalisering av diabilder och negativ. Bilderna sparas på SD-kort (max 32 GB, medföljer ej) via en knapptryckning. Kopplas till en dator via USB för överföring. Kan kopplas direkt till en TV för att se sparade bilder.;899
https://www.kjell.com/se/sortiment/dator-natverk/hogtalare-headset/tradlosa-hogtalare/roxcore-stream-4-hogtalare-med-wifi-p23487;roxcore-stream-4-hogtalare-med-wifi.jpg;45;Roxcore Stream 4 Högtalare med wifi;Kraftfull och smart högtalare med Multiroom-stöd. Ansluts till hemmets wifi och gör det enkelt att spela upp musik i flera rum samtidigt. Via den medföljande appen är det enkelt att spela upp musik, antingen direkt från mobilen eller från musikappar som t.ex. Spotify (Premium). Möjligt att spela samma låt i alla högtalare, eller olika i olika högtalare. Högtalaren har även Bluetooth och en 3,5 mm-ingång. Högtalaren har knappar för styrning av musiken samt ett uppladdningsbart batteri, vilket gör den enkel att ta med på utflykten.;799
https://www.kjell.com/se/sortiment/mobilt/headset/mobiltelefon-headset/roxcore-oronmuffar-med-inbyggt-headset-p93374;roxcore-oronmuffar-med-inbyggt-headset.jpg;46;Roxcore Öronmuffar med inbyggt headset;Öronmuffar med inbyggt headset. Hörlurarna ligger i insydda fickor och kopplas till den medföljande 3,5 mm-kabeln med mikrofon, svarsknapp och analogt volymreglage. Lurar och kabel kan tas ur när öronmuffarna behöver tvättas. Passar mobiler och andra enheter med vanlig hörlurskontakt (3,5 mm).;199
https://www.kjell.com/se/sortiment/mobilt/bluetooth/handsfree/linocell-vante-med-bluetooth-headset-p94577;linocell-vante-med-bluetooth-headset.jpg;47;Linocell Vante med Bluetooth-headset;Stickad vante med inbyggt Bluetooth-headset. Forma handen som en lur, med lillfingret som mikrofon och tummen som en högtalare. Insydd knapp i vanten gör det möjligt att besvara samt avsluta samtal utan att behöva ta upp mobilen. Vanten går även att använda på mobilens skärm.;299
https://www.kjell.com/se/sortiment/hem-kontor-fritid/dronare/denver-dch-330-dronare-med-hd-kamera-p50866;denver-dch-330-dronare-med-hd-kamera.jpg;48;Denver DCH-330 Drönare med HD-kamera;Drönare med inbyggd HD-kamera och LED-belysning. Har två hastigheter och tack vare gyro-funktionen blir drönaren stabil och lättflugen. Filmar i HD (720p, 30 FPS). Filmerna sparas på ett Micro-SD-kort (max. 32 GB, medföljer ej). Upp till 30 meters räckvidd.;699
https://www.thegreatgiftcompany.co.uk/occasions/special_occasions/christmas/christmas-for-men/henry_desk_vacumn.htm;550x550.fit.Henry-Desk-Vacumn-80971_2.jpg;49;Henry - Skrivbordsdammsugaren;This little sucker will keep your desktop neat and tidy, crumb and dust free...;149
https://www.thegreatgiftcompany.co.uk/occasions/special_occasions/christmas/christmas-for-men/case_of_award_winning_british_beer.htm;550x550.fit.Case-of-Award-Winning-Beer-12126_40.jpg;50;Prenumeration på en låda brittiskt prisbelönat öl;Without question, the greatest invention in the history of mankind is beer. Oh, I grant you that the wheel was also a fine invention, but the wheel does not go nearly as well with pizza - Dave Barry. Give him a case of Award Winning Ales from UK micro breweries - the perfect gift for lovers of beer. This Case of Award Winning British Beer includes 12 beers from small, independent breweries - so this is not the run-of-the-mill beers that he'll find in a supermarket. All the beers have won regional, national and/or international awards and have been tested by a dedicated (and very enthusiastic) tasting panel. No beer is included unless it has won award/s and been given the stamp of approval by the group of experienced beer drinkers;500
