itemURL,itemPicture,itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat,random
http://www.coolstuff.se/Towel-Twister,08897f1b38a79de7b99176ef6529db46.jpg,4,Towel Twister,Samla ditt blöta hår i en superabsorberande mikrofiberhandduk och lägg det nonchalant på huvudet! Helt plötsligt kommer vanliga handdukar kännas gammaldags och obekväma.,129,1,0,Personal,1,0,0,0,0,0,0,0,1,0,0,1,0.8490215273
http://www.coolstuff.se/SleepPhones,b3f3ae9f29b015c38e296c777d967eec.jpg,27,SleepPhones ,Stäng ute snarkningar och annat störande. Lyssna på musik utan att irritera sängpartnern. SleepPhones – bekväma hörlurar för sängen.,349,2,0,Electronics,1,0,1,1,0,0,0,0,1,0,0,1,0.8182764166
http://www.stadium.se/sport/traning/traningsutrustning/221630102/c,221630_102_CASALL_YOGAM BALANCE 3 FR.jpg,43,Yogamatta TPE 4 mm,"Ett måste för alla yogautövare. Mattan är perfekt att använda hemma, på gymmet eller när du reser. En vadderad matta som gör utmanande träning bekväm och behaglig. Består av två lager TPE-material för maximal komfort.",399,2,0,Sports,0,1,0,1,1,0,1,0,0,0,0,0,0.7067636269
http://store.sensoriafitness.com/sensoria-fitness-smart-socks,fweofjeowijfoewfkfopekf.png,48,Sensoria Smarta Fitness-strumpor,"Det finns en uppsjö av olika plagg och armband som mäter hälsostatus. Nu kommer Sensoria Fitness Socks ett par smarta strumpor, utrustade med sensorer, som kommunicerar med ett armband. Med hjälp av en Iphone-app, registreras dina aktiviteter samt fotdynor och enheten röstguidar dig medan du springer.",1800,4,1,Sports,1,1,1,0,0,0,1,0,1,0,0,1,0.07986562351
http://www.coolstuff.se/Helautomatisk-Vinpump,ff32349daf21d192c21996ff5ae07c1a.jpg,8,KitchPro Helautomatisk Vinpump ,Sätt på vinpumpen på flaskan och den suger automatiskt ut rätt mängd luft. Pumpen aktiveras igen om det kommer in ny luft.,295,2,0,Electronics,0,0,1,1,0,0,0,0,1,0,1,0,0.7032924599
http://www.coolstuff.se/Stadtofflor,5f9692433aaaf409a7302b18d6561aef.jpg,22,Städtofflor ,Tråkigt att städa? Med dessa sweeping slippers ”slipper” du plocka fram golvmoppen. På med tofflorna och glid omkring så blir det skinande rent!,79,1,0,Home,1,0,0,1,0,0,0,1,1,0,0,0,0.5899610679
http://www.coolstuff.se/Mighty-Mug-Solo,4f63a95404a19f4c038590fbcda8f114.jpg,50,Mighty Mug Solo ,Muggen som inte välter – nu i mindre version! Perfekt för den som behöver exakt en kopp ovältbar kaffe.,279,2,0,Personal,0,0,0,1,0,0,1,0,1,0,1,1,0.5553144631
http://www.bokus.com/bok/9780133564242/core-html5-2d-game-programming/,9780133564242_200_core-html5-2d-game-programming_haftad.jpeg,40,Core HTML5 2D Game Programming,"Game programming offers a wealth of creative and business opportunities, and its never been more accessible. In Core HTML5 2D Game Programming, best-selling author David Geary shows you how to use freely available browser tools and open source resources to create video games that run in desktop browsers and on mobile devices.",295,2,0,Books,0,0,0,0,1,1,0,0,1,0,0,0,0.7975069762
http://cdon.se/sport/titan-treadmill-st595xforce-p33601938,titan_treadmill_st595xforce_polar_compatible-33601938-1.jpg,35,Titan Treadmill ST595Xforce,"Med en hastighet på upp till 20 km/t blir även den tränade löparen utmanad på löpbandet. Perfekt löpband till bl.a. intervall- och uthållighetsträning. Stor och kraftig motor som ger 2,0 hk vid pågående belastning.  Lyssna till egen motiverande musik medan du springer med den integrerade MP3-spelaren. Datorn visar bl.a. hur lång tid du har sprungit, men visar också klockan så du vet att du har tid att springa de extra 5 minutrarna!",6499,5,1,Sports,0,1,1,1,0,0,0,0,0,0,0,1,0.9311788545
http://www.coolstuff.se/Polaroid-ZIP-Instant-Fotoskrivare,b7cf8d1965fbf10db692740876dd2b2b.jpg,25,Polaroid ZIP Instant Fotoskrivare ,Skriv ut dina foton på ett kick direkt från din smartphone eller surfplatta med Polaroids portabla fotoskrivare. Inget bläck behövs.,1590,4,1,Hobby,0,0,1,0,1,0,0,0,0,0,0,0,0.01727652077
